target_idx,context_size,model_name,model_id,route,provider_pin,prompt_version,llm_output,provider,usage,finish_reason,error,attempts,score,match,divergence,length_ratio,refusal,failed
875,3,gpt-5.6-terra,gpt-5.6-terra,openai,,v2.1,"In another place—p. 45,—he speaks of “the mysterious and mortal attack of the animal.” And in a third place—p. 48,—he says, “The whale was evidently enraged, and seemed determined to destroy the ship.”",,"{'completion_tokens': 55, 'prompt_tokens': 715, 'total_tokens': 770, 'completion_tokens_details': {'accepted_prediction_tokens': 0, 'audio_tokens': 0, 'reasoning_tokens': 0, 'rejected_prediction_tokens': 0}, 'prompt_tokens_details': {'audio_tokens': 0, 'cached_tokens': 0, 'cache_write_tokens': 0}}",stop,,1,99.0,True,1.0,2.284090909090909,False,False
2426,3,glm-5.2,z-ai/glm-5.2,openrouter,z-ai,v2.1,"But soon the fore part of him slowly rose from the water; for an instant his whole marbleized body formed a high arch, like Virginia Natural Bridge, and waving his long, lean, fluke he began to scratch the billows in his death-gorge. But as if perceiving this strategem, Moby Dick had now gained a more commanding distance to windward, and was foamingly breaching the sea in his rage, and triumphantly tossing his spout in the air.",Z.AI,"{'completion_tokens': 100, 'prompt_tokens': 632, 'total_tokens': 732, 'completion_tokens_details': {'accepted_prediction_tokens': None, 'audio_tokens': 0, 'reasoning_tokens': 0, 'rejected_prediction_tokens': None, 'image_tokens': 0}, 'prompt_tokens_details': {'audio_tokens': 0, 'cached_tokens': 0, 'cache_write_tokens': 0, 'video_tokens': 0}, 'cost': 0.0013248, 'is_byok': False, 'cost_details': {'upstream_inference_cost': 0.0013248, 'upstream_inference_prompt_cost': 0.0008848, 'upstream_inference_completions_cost': 0.00044}}",stop,,1,42.0,False,0.0,1.3060606060606061,False,False
1729,10,mistral-medium-3.5,mistralai/mistral-medium-3-5,openrouter,mistral,v2.1,"So, with much interest, Stubb contrived to have the Pequod’s whale-boat hoisted to the deck for a set-off, and with his own hands helped the carpenters in getting the ship’s spare boat ready for the Frenchman. Meantime, the Guernsey-man, who, under pretence of showing him the ropes, was all the while inveigling Stubb into his scheme, and, at last, made an errand to the round-house, where, for a few moments, he was closeted with the Captain. Presently, the two came out together, and the Frenchman, making a great bustle, mustered all his men on deck. Then, with a sort of solemn pomp, Stubb was conducted to the mast-head, and formally seated on the top of it, to the great delight of the crew, who seemed to look upon him as a sort of Neptune, or at least a very extraordinary man, who had come from nobody knew where.",Mistral,"{'completion_tokens': 210, 'prompt_tokens': 957, 'total_tokens': 1167, 'completion_tokens_details': {'accepted_prediction_tokens': None, 'audio_tokens': 0, 'reasoning_tokens': 0, 'rejected_prediction_tokens': None, 'image_tokens': 0}, 'prompt_tokens_details': {'audio_tokens': 0, 'cached_tokens': 0, 'cache_write_tokens': 0, 'video_tokens': 0}, 'cost': 0.0030105, 'is_byok': False, 'cost_details': {'upstream_inference_cost': 0.0030105, 'upstream_inference_prompt_cost': 0.0014355, 'upstream_inference_completions_cost': 0.001575}}",stop,,1,47.0,False,0.0,2.0994897959183674,False,False
1058,1,gpt-5.6-terra,gpt-5.6-terra,openai,,v2.1,"“‘And what do you mean by that, you beggar?’ roared the Captain. ‘I mean,’ answered Steelkilt, ‘that if you don’t say the word, why, we’ll just stand here till we rot.’”",,"{'completion_tokens': 53, 'prompt_tokens': 199, 'total_tokens': 252, 'completion_tokens_details': {'accepted_prediction_tokens': 0, 'audio_tokens': 0, 'reasoning_tokens': 0, 'rejected_prediction_tokens': 0}, 'prompt_tokens_details': {'audio_tokens': 0, 'cached_tokens': 0, 'cache_write_tokens': 0}}",stop,,1,41.0,False,0.01,1.6732673267326732,False,False
2438,1,qwen3.7-max,qwen/qwen3.7-max,openrouter,alibaba,v2.1,"While thus standing on the deck, or seated in his ivory chair, Ahab would occasionally glance at the binnacle-watch, and then at the compass; but mostly his fixed gaze was directed ahead, as if by some unerring instinct he could detect the slightest deviation in the whale’s course, and so keep the ship precisely in his wake. Nor did he fail to note every passing cloud, or shift of wind, or change in the color of the water, or any other sign that might indicate the proximity or direction of the object of his pursuit; for though Moby Dick was now fairly before him, yet the old man knew well that the White Whale was capable of sudden turns and unexpected movements, which might at any moment throw the chase out again, and render all their previous exertions vain. Thus, with an intensity that seemed to consume him, Ahab kept his vigil, his whole being absorbed in the one absorbing purpose that had so long possessed his soul, and which now, as the sun began to sink towards the western horizon, appeared nearer to its fulfillment than ever before.",Alibaba,"{'completion_tokens': 219, 'prompt_tokens': 537, 'total_tokens': 756, 'completion_tokens_details': {'accepted_prediction_tokens': None, 'audio_tokens': 0, 'reasoning_tokens': 0, 'rejected_prediction_tokens': None, 'image_tokens': 0}, 'prompt_tokens_details': {'audio_tokens': 0, 'cached_tokens': 0, 'cache_write_tokens': 0, 'video_tokens': 0}, 'cost': 0.00176115, 'is_byok': False, 'cost_details': {'upstream_inference_cost': 0.00176115, 'upstream_inference_prompt_cost': 0.000792075, 'upstream_inference_completions_cost': 0.000969075}}",stop,,1,44.0,False,0.0,1.9287020109689215,False,False
1729,10,gpt-5.6-terra,gpt-5.6-terra,openai,,v2.1,"Presently, the Guernsey-man, with his nose-bag on, went into the cabin, and after a little while came out again, and beckoned to Stubb. “Come along,” said he, “the Captain’s ready for ye.” Stubb accordingly went in, and found the Captain seated at a table, with a large map spread before him, and a pair of compasses in his hand. He was a little man, with a very red face, and a very large nose; and he looked as if he had been born in a vinegar-cruet.",,"{'completion_tokens': 121, 'prompt_tokens': 937, 'total_tokens': 1058, 'completion_tokens_details': {'accepted_prediction_tokens': 0, 'audio_tokens': 0, 'reasoning_tokens': 0, 'rejected_prediction_tokens': 0}, 'prompt_tokens_details': {'audio_tokens': 0, 'cached_tokens': 0, 'cache_write_tokens': 0}}",stop,,1,43.0,False,0.0,1.153061224489796,False,False
1093,3,grok-4.3,x-ai/grok-4.3,openrouter,xai,v2.1,"It was a clear steel-blue day. The spangled sea calm and cool, and flatly stretching away, all round, to the horizon, like gold-beater’s skin hammered out to its utmost expansion; so I named the day after him; and so it seemed to me as though this were the Loom of Time, and I myself were a shuttle mechanically weaving and weaving away at the Fates.",xAI,"{'completion_tokens': 80, 'prompt_tokens': 612, 'total_tokens': 692, 'completion_tokens_details': {'accepted_prediction_tokens': None, 'audio_tokens': 0, 'reasoning_tokens': 0, 'rejected_prediction_tokens': None, 'image_tokens': 0}, 'prompt_tokens_details': {'audio_tokens': 0, 'cached_tokens': 128, 'cache_write_tokens': 0, 'video_tokens': 0}, 'cost': 0.0008306, 'is_byok': False, 'cost_details': {'upstream_inference_cost': 0.0008306, 'upstream_inference_prompt_cost': 0.0006306, 'upstream_inference_completions_cost': 0.0002}}",stop,,1,41.0,False,0.0,2.9411764705882355,False,False
2426,3,deepseek-v4-pro,deepseek/deepseek-v4-pro-0813,openrouter,parasail,v2.1,"But soon the fore part of him slowly rose from the water; for an instant his whole marbleized body formed a high arch, like Virginia’s Natural Bridge, and warningly waving his bannered flukes in the air, the grand god revealed himself, sounded, and went out of sight.",Parasail,"{'completion_tokens': 62, 'prompt_tokens': 634, 'total_tokens': 696, 'completion_tokens_details': {'accepted_prediction_tokens': None, 'audio_tokens': 0, 'reasoning_tokens': 0, 'rejected_prediction_tokens': None, 'image_tokens': 0}, 'prompt_tokens_details': {'audio_tokens': 0, 'cached_tokens': 0, 'cache_write_tokens': 0, 'video_tokens': 0}, 'cost': 0.0010824, 'is_byok': False, 'cost_details': {'upstream_inference_cost': 0.0010824, 'upstream_inference_prompt_cost': 0.00083688, 'upstream_inference_completions_cost': 0.00024552}}",stop,,1,43.0,False,0.0,0.8090909090909091,False,False
875,3,gpt-5.6-sol,gpt-5.6-sol,openai,,v2.1,"In another place—p. 45,—he speaks of “the mysterious and mortal attack of the animal.”",,"{'completion_tokens': 25, 'prompt_tokens': 715, 'total_tokens': 740, 'completion_tokens_details': {'accepted_prediction_tokens': 0, 'audio_tokens': 0, 'reasoning_tokens': 0, 'rejected_prediction_tokens': 0}, 'prompt_tokens_details': {'audio_tokens': 0, 'cached_tokens': 0, 'cache_write_tokens': 0}}",stop,,1,98.0,True,1.0,0.9772727272727273,False,False
1627,1,glm-5.2,z-ai/glm-5.2,openrouter,z-ai,v2.1,"But though, to landsmen in general, the native inhabitants of the seas have ever been regarded with emotions unspeakably unsympathetic and exclusive; still, it is not without some lingering wonder that we now and then regard the Red Men, who, from the outlying islands of the Pacific, have been driven to the more remote fastnesses of the sea, and there, in their turn, have been hunted and harassed by the more civilized and Christianized whites. Yet, however it may be with the aboriginal natives of the deep, there is one thing certain about the whalemen of the present day, and that is, that they are not what they were in the days of our fathers; and the change has not been for the better. Where are the old-fashioned whalemen, who used to go out on a three-years' voyage with no charts but those they made themselves, and no chronometer but a dead reckoning? They are gone, and with them the glory of the fishery.",Z.AI,"{'completion_tokens': 206, 'prompt_tokens': 505, 'total_tokens': 711, 'completion_tokens_details': {'accepted_prediction_tokens': None, 'audio_tokens': 0, 'reasoning_tokens': 0, 'rejected_prediction_tokens': None, 'image_tokens': 0}, 'prompt_tokens_details': {'audio_tokens': 0, 'cached_tokens': 0, 'cache_write_tokens': 0, 'video_tokens': 0}, 'cost': 0.0016134, 'is_byok': False, 'cost_details': {'upstream_inference_cost': 0.0016134, 'upstream_inference_prompt_cost': 0.000707, 'upstream_inference_completions_cost': 0.0009064}}",stop,,1,46.0,False,0.0,1.0176991150442478,False,False
2438,1,grok-4.3,x-ai/grok-4.3,openrouter,xai,v2.1,"As he thus went on, the ship tore on; leaving such a furrow in the sea as when a cannon-ball, missent, becomes a plough-share and turns up the level field. “By salt and hemp!” cried Ahab, turning to the crew, “we have been dragged through the straits of Sunda, and the whole round of the watery world to this day; and though this pine-tree shakes down its sighs like leaves upon this shepherd’s head, yet all were vain, unless the shepherd’s eye were fixed upon the whale.”",xAI,"{'completion_tokens': 112, 'prompt_tokens': 688, 'total_tokens': 800, 'completion_tokens_details': {'accepted_prediction_tokens': None, 'audio_tokens': 0, 'reasoning_tokens': 0, 'rejected_prediction_tokens': None, 'image_tokens': 0}, 'prompt_tokens_details': {'audio_tokens': 0, 'cached_tokens': 128, 'cache_write_tokens': 0, 'video_tokens': 0}, 'cost': 0.0010056, 'is_byok': False, 'cost_details': {'upstream_inference_cost': 0.0010056, 'upstream_inference_prompt_cost': 0.0007256, 'upstream_inference_completions_cost': 0.00028}}",stop,,1,45.0,False,0.009140767824497258,0.8647166361974405,False,False
1627,1,claude-sonnet-4.6,anthropic/claude-sonnet-4.6,openrouter,anthropic,v2.1,"Meanwhile, we continued in the wake of this vast host till it seemed as if all the whales of the deep were swimming before us. The wind that made great bellying sails of our spread canvas, and helped to hurry them onward, had its counterpart in the steady fidelity with which the mariners toiled with their oars. It was a sight full of quick wonder and awe! The vast swells of the omnipotent sea; the surging, hollow roar they made, as they rolled along the eight gunwales, like gigantic bowls in a boundless bowling-green; the brief suspended agony of the boat, as it would tip for an instant on the knife-like edge of the sharper waves, that almost seemed threatening to cut it in two; the sudden profound dip into the watery glens and hollows; the keen spurrings and goadings to gain the top of the opposite hill; the headlong, sled-like slide down its other side;—all these, with the cries of the headsmen and harpooneers, and the shuddering gasps of the oarsmen, with the wondrous sight of the ivory Pequod bearing down upon her boats with outstretched sails, like a wild hen after her screaming brood;—all this was thrilling.",Anthropic,"{'completion_tokens': 292, 'prompt_tokens': 555, 'total_tokens': 847, 'completion_tokens_details': {'accepted_prediction_tokens': None, 'audio_tokens': 0, 'reasoning_tokens': 0, 'rejected_prediction_tokens': None, 'image_tokens': 0}, 'prompt_tokens_details': {'audio_tokens': 0, 'cached_tokens': 0, 'cache_write_tokens': 0, 'video_tokens': 0}, 'cost': 0.006045, 'is_byok': False, 'cost_details': {'upstream_inference_cost': 0.006045, 'upstream_inference_prompt_cost': 0.001665, 'upstream_inference_completions_cost': 0.00438}}",stop,,1,46.0,False,0.0,1.2511061946902655,False,False
1093,3,gemini-3.1-flash-lite,google/gemini-3.1-flash-lite,openrouter,google-ai-studio,v2.1,"“‘There she blows! there she blows! A hump like a snow-hill! It is Moby Dick!’ Such was the cry that, in the first instance, brought the whole crew to their feet, and sent the mate, who had been so near his end, flying to the mast-head. It was a sight that, for a moment, seemed to paralyze every soul on board; for the white whale, as if in mockery of the very danger he had so often escaped, was now seen slowly and majestically rising from the depths, his vast, snow-white hump gleaming in the early morning sun like a mountain of marble. The ship, which had been sailing along in a light breeze, now seemed to hang suspended in the water, as if the very presence of the monster had stilled the winds and the waves, leaving the vessel to drift, a helpless toy, in the wake of the leviathan.",Google AI Studio,"{'completion_tokens': 189, 'prompt_tokens': 438, 'total_tokens': 627, 'completion_tokens_details': {'accepted_prediction_tokens': None, 'audio_tokens': 0, 'reasoning_tokens': 0, 'rejected_prediction_tokens': None, 'image_tokens': 0}, 'prompt_tokens_details': {'audio_tokens': 0, 'cached_tokens': 0, 'cache_write_tokens': 0, 'video_tokens': 0}, 'cost': 0.000393, 'is_byok': False, 'cost_details': {'upstream_inference_cost': 0.000393, 'upstream_inference_prompt_cost': 0.0001095, 'upstream_inference_completions_cost': 0.0002835}}",stop,,1,41.0,False,0.00847457627118644,6.663865546218488,False,False
1627,1,deepseek-v4-pro,deepseek/deepseek-v4-pro-0813,openrouter,parasail,v2.1,"Though many of the whales, as has been said, were in violent motion, yet it is to be observed that as a whole the herd neither advanced nor retreated, but collectively remained in one place. As is customary in those cases, the boats at once separated, each making for some one lone whale on the outskirts of the shoal. In about three minutes’ time, Queequeg’s harpoon was flung; the stricken fish darted blinding spray in our faces, and then running away with us like light, steered straight for the heart of the herd. Though such a movement on the part of the whale struck under such circumstances, is in no wise unprecedented; and indeed is almost always more or less anticipated; yet does it present one of the more perilous vicissitudes of the fishery. For as the swift monster drags you deeper and deeper into the frantic shoal, you bid adieu to circumspect life and only exist in a delirious throb.",Parasail,"{'completion_tokens': 200, 'prompt_tokens': 499, 'total_tokens': 699, 'completion_tokens_details': {'accepted_prediction_tokens': None, 'audio_tokens': 0, 'reasoning_tokens': 0, 'rejected_prediction_tokens': None, 'image_tokens': 0}, 'prompt_tokens_details': {'audio_tokens': 0, 'cached_tokens': 0, 'cache_write_tokens': 0, 'video_tokens': 0}, 'cost': 0.00145068, 'is_byok': False, 'cost_details': {'upstream_inference_cost': 0.00145068, 'upstream_inference_prompt_cost': 0.00065868, 'upstream_inference_completions_cost': 0.000792}}",stop,,1,100.0,True,1.0,1.0,False,False
2438,1,gemini-3.1-flash-lite,google/gemini-3.1-flash-lite,openrouter,google-ai-studio,v2.1,"And at times when, after the monotonous repetition of the same report, the whale would be reported as having disappeared, Ahab would take the time, and then pacing the deck, binnacle-watch in hand, so soon as the last second of the allotted hour expired, his voice was heard.—“Whose is the doubloon now? D’ye see him?” and if the reply was, No, sir! straightway he commanded them to lift him to his perch. In this way the day wore on; Ahab, now aloft and motionless; anon, unrestingly pacing the planks.",Google AI Studio,"{'completion_tokens': 121, 'prompt_tokens': 515, 'total_tokens': 636, 'completion_tokens_details': {'accepted_prediction_tokens': None, 'audio_tokens': 0, 'reasoning_tokens': 0, 'rejected_prediction_tokens': None, 'image_tokens': 0}, 'prompt_tokens_details': {'audio_tokens': 0, 'cached_tokens': 0, 'cache_write_tokens': 0, 'video_tokens': 0}, 'cost': 0.00031025, 'is_byok': False, 'cost_details': {'upstream_inference_cost': 0.00031025, 'upstream_inference_prompt_cost': 0.00012875, 'upstream_inference_completions_cost': 0.0001815}}",stop,,1,46.0,False,0.0018281535648994515,0.9195612431444241,False,False
1729,10,gpt-5.6-sol,gpt-5.6-sol,openai,,v2.1,"By this time their destined victim appeared from his cabin. He was a small and dark, but rather delicate looking man for a sea-captain, with large whiskers and moustache, however; and wore a red cotton velvet vest with watch-seals at his side.",,"{'completion_tokens': 58, 'prompt_tokens': 937, 'total_tokens': 995, 'completion_tokens_details': {'accepted_prediction_tokens': 0, 'audio_tokens': 0, 'reasoning_tokens': 0, 'rejected_prediction_tokens': 0}, 'prompt_tokens_details': {'audio_tokens': 0, 'cached_tokens': 0, 'cache_write_tokens': 0}}",stop,,1,100.0,True,0.6198979591836735,0.6198979591836735,False,False
